sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
1,3/9/2018 12:46,3.2,7.2,-24,-24,3.59
2,3/9/2018 13:01,3.2,9.2,-2,-9,3.59
3,3/9/2018 13:16,3.2,7.9,-2,-2,3.55
4,3/9/2018 13:31,3.2,7.2,-2,-2,3.55
5,3/9/2018 13:46,3.2,7.2,-1,-2,3.55
6,3/9/2018 14:01,3.2,6.9,-2,-2,3.55
7,3/9/2018 14:16,3.2,6.9,-2,-2,3.55
8,3/9/2018 14:31,3.2,6.5,-2,-2,3.55
9,3/9/2018 14:46,3.2,6.5,-2,-2,3.55
10,3/9/2018 15:01,3.2,6.5,-2,-2,3.55
11,3/9/2018 15:16,3.2,6.5,-2,-2,3.55
12,3/9/2018 15:31,3.2,6.9,-2,-2,3.55
13,3/9/2018 15:46,3.2,6.9,-2,-2,3.55
14,3/9/2018 16:01,3.2,6.9,-2,-2,3.55
15,3/9/2018 16:16,3.2,6.5,-2,-2,3.55
16,3/9/2018 16:31,2.9,6.5,-2,-2,3.55
17,3/9/2018 16:46,2.9,6.2,-2,-2,3.55
18,3/9/2018 17:01,2.5,5.9,-3,-2,3.55
19,3/9/2018 17:16,2.5,5.2,-3,-2,3.55
20,3/9/2018 17:31,2.2,4.6,-2,-2,3.55
21,3/9/2018 17:46,2.2,4.6,-3,-3,3.55
22,3/9/2018 18:01,2.2,4.2,-2,-2,3.55
23,3/9/2018 18:16,2.2,3.9,-3,-2,3.55
24,3/9/2018 18:31,1.9,3.5,-3,-3,3.55
25,3/9/2018 18:46,1.9,2.9,-3,-3,3.55
26,3/9/2018 19:01,1.9,2.9,-3,-3,3.55
27,3/9/2018 19:16,1.9,2.5,-3,-3,3.55
28,3/9/2018 19:31,1.9,2.5,-3,-3,3.55
29,3/9/2018 19:46,2.2,2.9,-3,-3,3.55
30,3/9/2018 20:01,1.9,2.9,-3,-3,3.55
31,3/9/2018 20:16,1.9,2.9,-3,-3,3.55
32,3/9/2018 20:31,2.2,2.9,-3,-3,3.55
33,3/9/2018 20:46,2.2,2.9,-3,-3,3.55
34,3/9/2018 21:01,1.9,2.5,-3,-3,3.55
35,3/9/2018 21:16,1.9,2.2,-3,-3,3.55
36,3/9/2018 21:31,1.9,2.2,-3,-3,3.55
37,3/9/2018 21:46,1.9,1.9,-3,-3,3.55
38,3/9/2018 22:01,1.9,1.5,-3,-3,3.55
39,3/9/2018 22:16,1.5,1.2,-4,-3,3.55
40,3/9/2018 22:31,1.9,1.2,-3,-3,3.55
41,3/9/2018 22:46,1.9,1.2,-3,-3,3.55
42,3/9/2018 23:01,1.9,1.2,-3,-3,3.55
43,3/9/2018 23:16,1.9,1.2,-3,-3,3.55
44,3/9/2018 23:31,1.9,1.2,-3,-3,3.55
45,3/9/2018 23:46,1.9,1.2,-3,-3,3.55
46,3/10/2018 0:01,1.5,1.2,-3,-3,3.55
47,3/10/2018 0:16,1.5,0.8,-3,-3,3.55
48,3/10/2018 0:31,1.5,0.8,-3,-3,3.55
49,3/10/2018 0:46,1.5,0.5,-3,-3,3.55
50,3/10/2018 1:01,1.5,0.5,-3,-3,3.55
51,3/10/2018 1:16,1.2,0.1,-3,-3,3.55
52,3/10/2018 1:31,1.2,0.1,-3,-3,3.55
53,3/10/2018 1:46,1.2,0.1,-3,-3,3.55
54,3/10/2018 2:01,1.5,0.1,-3,-3,3.55
55,3/10/2018 2:16,1.5,0.5,-3,-3,3.55
56,3/10/2018 2:31,1.5,0.8,-3,-3,3.55
57,3/10/2018 2:46,1.5,1.2,-3,-3,3.55
58,3/10/2018 3:01,1.5,1.2,-3,-3,3.55
59,3/10/2018 3:16,1.5,0.8,-3,-3,3.55
60,3/10/2018 3:31,1.5,0.8,-3,-3,3.55
61,3/10/2018 3:46,1.5,0.8,-3,-3,3.55
62,3/10/2018 4:01,1.5,0.8,-3,-3,3.55
63,3/10/2018 4:16,1.5,0.8,-3,-3,3.55
64,3/10/2018 4:31,1.5,0.8,-3,-3,3.55
65,3/10/2018 4:46,1.5,0.8,-3,-3,3.55
66,3/10/2018 5:01,1.5,0.5,-3,-3,3.55
