sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,batt_mi_4
1,7/5/2017 12:00,10.5,24.5,19,3.55
2,7/5/2017 12:15,10.5,24.2,18,3.55
3,7/5/2017 12:30,10.5,23.8,18,3.55
4,7/5/2017 12:45,10.5,23.8,18,3.55
5,7/5/2017 13:00,10.5,24.2,18,3.55
6,7/5/2017 13:15,10.8,24.2,17,3.55
7,7/5/2017 13:30,10.8,24.5,17,3.55
8,7/5/2017 13:45,10.8,25.3,18,3.55
9,7/5/2017 14:00,10.8,24.5,18,3.55
10,7/5/2017 14:15,10.8,23.8,18,3.55
11,7/5/2017 14:30,10.8,23.4,18,3.55
12,7/5/2017 14:45,10.8,23.8,18,3.55
13,7/5/2017 15:00,10.8,24.2,18,3.55
14,7/5/2017 15:15,10.8,25.3,18,3.55
15,7/5/2017 15:30,10.8,24.9,18,3.55
16,7/5/2017 15:45,10.8,23.8,18,3.55
17,7/5/2017 16:00,10.8,24.2,18,3.55
18,7/5/2017 16:15,10.8,23.8,18,3.55
19,7/5/2017 16:30,10.8,22.7,18,3.55
20,7/5/2017 16:45,10.8,21.3,18,3.55
21,7/5/2017 17:00,10.8,20.2,18,3.55
22,7/5/2017 17:15,10.5,19.2,18,3.55
23,7/5/2017 17:30,10.5,18.8,18,3.55
24,7/5/2017 17:45,10.5,18.5,18,3.55
25,7/5/2017 18:00,10.5,18.5,18,3.55
26,7/5/2017 18:15,10.5,18.8,18,3.55
27,7/5/2017 18:30,10.5,18.5,18,3.55
28,7/5/2017 18:45,10.5,18.2,18,3.55
29,7/5/2017 19:00,10.5,17.8,18,3.55
30,7/5/2017 19:15,10.5,17.5,18,3.55
31,7/5/2017 19:30,10.5,16.8,18,3.55
32,7/5/2017 19:45,10.5,16.5,18,3.55
33,7/5/2017 20:00,10.5,15.8,18,3.55
34,7/5/2017 20:15,10.5,15.8,19,3.55
35,7/5/2017 20:30,10.5,16.5,19,3.55
36,7/5/2017 20:45,10.5,16.5,19,3.55
37,7/5/2017 21:00,10.2,16.1,19,3.55
38,7/5/2017 21:15,10.2,15.8,19,3.55
39,7/5/2017 21:30,10.2,15.5,19,3.55
40,7/5/2017 21:45,10.2,14.8,19,3.55
41,7/5/2017 22:00,10.2,14.5,19,3.55
42,7/5/2017 22:15,9.8,13.8,19,3.55
43,7/5/2017 22:30,9.8,13.5,20,3.55
44,7/5/2017 22:45,9.8,13.1,20,3.55
45,7/5/2017 23:00,9.8,12.8,20,3.55
46,7/5/2017 23:15,9.5,12.5,20,3.55
47,7/5/2017 23:30,9.5,12.1,20,3.55
48,7/5/2017 23:45,9.5,11.8,20,3.55
49,7/6/2017 0:00,9.5,11.8,20,3.51
50,7/6/2017 0:15,9.5,11.5,20,3.51
51,7/6/2017 0:30,9.5,11.5,20,3.51
52,7/6/2017 0:45,9.2,11.2,20,3.51
53,7/6/2017 1:00,9.2,10.8,20,3.51
54,7/6/2017 1:15,9.2,10.8,20,3.51
55,7/6/2017 1:30,9.2,10.8,20,3.51
56,7/6/2017 1:45,9.2,10.5,20,3.51
57,7/6/2017 2:00,9.2,10.5,20,3.51
58,7/6/2017 2:15,9.2,10.2,20,3.51
59,7/6/2017 2:30,8.9,10.2,21,3.51
60,7/6/2017 2:45,8.9,9.8,21,3.51
61,7/6/2017 3:00,8.9,9.8,21,3.51
62,7/6/2017 3:15,8.9,9.5,20,3.51
63,7/6/2017 3:30,8.9,9.5,21,3.51
64,7/6/2017 3:45,8.9,9.2,21,3.51
65,7/6/2017 4:00,8.9,9.2,21,3.51
66,7/6/2017 4:15,8.5,9.2,21,3.51
67,7/6/2017 4:30,8.5,8.9,21,3.51
