sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
1,4/9/2018 12:45,2.9,5.6,24,24,3.55
2,4/9/2018 13:00,2.9,5.2,25,25,3.55
3,4/9/2018 13:15,2.9,4.6,25,25,3.55
4,4/9/2018 13:30,2.9,4.6,25,25,3.55
5,4/9/2018 13:45,2.9,4.6,25,25,3.55
6,4/9/2018 14:00,2.9,4.9,25,25,3.55
7,4/9/2018 14:15,2.9,4.9,25,25,3.55
8,4/9/2018 14:30,2.9,5.2,25,25,3.55
9,4/9/2018 14:45,2.9,6.5,25,25,3.55
10,4/9/2018 15:00,2.9,7.5,25,25,3.55
11,4/9/2018 15:15,2.9,7.5,25,25,3.55
12,4/9/2018 15:30,2.9,7.2,25,25,3.55
13,4/9/2018 15:45,2.9,6.9,25,25,3.55
14,4/9/2018 16:00,2.9,6.5,25,25,3.55
15,4/9/2018 16:15,2.5,6.2,25,25,3.55
16,4/9/2018 16:30,2.5,5.6,25,25,3.55
17,4/9/2018 16:45,2.5,5.6,25,25,3.55
18,4/9/2018 17:00,2.5,5.2,25,25,3.55
19,4/9/2018 17:15,2.5,4.9,25,25,3.55
20,4/9/2018 17:30,2.5,4.6,25,25,3.55
21,4/9/2018 17:45,2.2,4.2,25,25,3.55
22,4/9/2018 18:00,2.2,3.9,25,25,3.55
23,4/9/2018 18:15,2.2,3.5,25,25,3.55
24,4/9/2018 18:30,2.2,2.9,25,25,3.55
25,4/9/2018 18:45,2.2,2.5,25,25,3.55
26,4/9/2018 19:00,2.2,1.9,25,25,3.55
27,4/9/2018 19:15,1.9,1.2,25,25,3.55
28,4/9/2018 19:30,1.9,0.5,25,25,3.55
29,4/9/2018 19:45,1.9,0.1,25,25,3.55
30,4/9/2018 20:00,1.9,-0.2,25,25,3.55
31,4/9/2018 20:15,1.9,-0.2,24,25,3.55
32,4/9/2018 20:30,1.9,-0.6,25,25,3.55
33,4/9/2018 20:45,1.9,-0.6,25,25,3.55
34,4/9/2018 21:00,1.9,-0.2,25,25,3.55
35,4/9/2018 21:15,1.9,-0.2,25,25,3.55
36,4/9/2018 21:30,1.9,-0.6,25,25,3.55
37,4/9/2018 21:45,1.9,-0.6,25,25,3.55
38,4/9/2018 22:00,1.5,-0.9,25,25,3.55
39,4/9/2018 22:15,1.5,-0.9,25,25,3.55
40,4/9/2018 22:30,1.5,-0.9,25,25,3.55
41,4/9/2018 22:45,1.5,-1.3,25,25,3.55
42,4/9/2018 23:00,1.5,-1.6,25,25,3.55
43,4/9/2018 23:15,1.5,-1.6,25,25,3.55
44,4/9/2018 23:30,1.5,-1.6,25,25,3.55
45,4/9/2018 23:45,1.5,-2,25,25,3.55
46,4/10/2018 0:00,1.5,-2,25,25,3.55
47,4/10/2018 0:15,1.5,-2,25,25,3.55
48,4/10/2018 0:30,1.5,-1.6,25,25,3.55
49,4/10/2018 0:45,1.5,-0.6,25,25,3.55
50,4/10/2018 1:00,1.5,0.1,25,25,3.55
51,4/10/2018 1:15,1.5,0.5,25,25,3.55
52,4/10/2018 1:30,1.5,0.8,25,25,3.55
53,4/10/2018 1:45,1.5,0.5,25,25,3.55
54,4/10/2018 2:00,1.5,0.5,25,25,3.55
55,4/10/2018 2:15,1.5,0.5,25,25,3.55
56,4/10/2018 2:30,1.5,0.8,25,25,3.55
57,4/10/2018 2:45,1.5,0.8,25,25,3.55
58,4/10/2018 3:00,1.5,0.8,25,25,3.55
59,4/10/2018 3:15,1.5,1.2,25,25,3.55
60,4/10/2018 3:30,1.5,0.8,25,25,3.55
61,4/10/2018 3:45,1.5,0.5,25,25,3.55
62,4/10/2018 4:00,1.5,0.1,24,25,3.55
63,4/10/2018 4:15,1.5,0.5,25,25,3.55
64,4/10/2018 4:30,1.5,0.5,25,25,3.55
65,4/10/2018 4:45,1.5,0.8,25,25,3.55
66,4/10/2018 5:00,1.5,0.8,24,25,3.55
67,4/10/2018 5:15,1.5,1.2,25,25,3.55
68,4/10/2018 5:30,1.5,1.2,25,25,3.55
69,4/10/2018 5:45,1.5,1.2,25,25,3.55
70,4/10/2018 6:00,1.5,1.2,25,25,3.55
71,4/10/2018 6:15,1.5,0.8,25,25,3.55
72,4/10/2018 6:30,1.5,0.8,25,25,3.55
73,4/10/2018 6:45,1.5,0.8,25,25,3.55
74,4/10/2018 7:00,1.9,1.9,25,25,3.55
75,4/10/2018 7:15,1.9,2.9,25,25,3.55
76,4/10/2018 7:30,1.9,3.5,25,25,3.55
77,4/10/2018 7:45,2.2,4.6,25,25,3.55
78,4/10/2018 8:00,2.2,5.6,25,25,3.55
79,4/10/2018 8:15,2.2,5.9,25,25,3.55
