sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
1,9/27/2017 13:45,7.2,9.8,4,4,3.55
2,9/27/2017 14:00,7.5,8.9,4,5,3.55
3,9/27/2017 14:15,7.5,7.5,4,4,3.55
4,9/27/2017 14:30,7.5,6.9,3,3,3.55
5,9/27/2017 14:45,7.5,6.5,3,3,3.55
6,9/27/2017 15:00,7.5,6.5,3,3,3.55
7,9/27/2017 15:15,7.5,6.5,3,3,3.55
8,9/27/2017 15:30,7.5,6.5,3,3,3.55
9,9/27/2017 15:45,7.5,6.2,3,3,3.55
10,9/27/2017 16:00,7.5,6.2,3,3,3.55
11,9/27/2017 16:15,7.5,6.2,3,3,3.55
12,9/27/2017 16:30,7.5,6.2,3,3,3.55
13,9/27/2017 16:45,7.5,6.2,3,3,3.55
14,9/27/2017 17:00,7.5,6.2,3,3,3.55
15,9/27/2017 17:15,7.5,6.2,3,3,3.55
16,9/27/2017 17:30,7.5,6.2,3,3,3.55
17,9/27/2017 17:45,7.5,6.2,3,3,3.55
18,9/27/2017 18:00,7.5,6.2,3,3,3.55
19,9/27/2017 18:15,7.5,6.2,3,3,3.55
20,9/27/2017 18:30,7.5,6.2,3,3,3.55
21,9/27/2017 18:45,7.5,6.2,3,3,3.55
22,9/27/2017 19:00,7.5,6.2,3,3,3.55
23,9/27/2017 19:15,7.5,6.2,3,3,3.55
24,9/27/2017 19:30,7.5,6.2,3,3,3.55
25,9/27/2017 19:45,7.5,6.2,3,3,3.55
26,9/27/2017 20:00,7.5,6.2,3,3,3.55
27,9/27/2017 20:15,7.5,6.2,3,3,3.55
28,9/27/2017 20:30,7.5,6.2,3,3,3.55
29,9/27/2017 20:45,7.5,6.2,3,3,3.55
30,9/27/2017 21:00,7.5,6.2,3,3,3.55
31,9/27/2017 21:15,7.5,5.9,3,3,3.55
32,9/27/2017 21:30,7.5,5.9,3,3,3.55
33,9/27/2017 21:45,7.5,5.9,3,3,3.55
34,9/27/2017 22:00,7.5,5.9,3,3,3.55
35,9/27/2017 22:15,7.5,5.9,3,3,3.55
36,9/27/2017 22:30,7.2,5.9,3,3,3.55
37,9/27/2017 22:45,7.5,5.9,3,3,3.55
38,9/27/2017 23:00,7.5,5.9,3,3,3.55
39,9/27/2017 23:15,7.5,5.9,3,3,3.55
40,9/27/2017 23:30,7.2,5.9,3,3,3.55
41,9/27/2017 23:45,7.2,5.9,3,3,3.55
42,9/28/2017 0:00,7.2,5.9,3,3,3.55
43,9/28/2017 0:15,7.2,5.9,3,3,3.55
44,9/28/2017 0:30,7.2,5.9,3,3,3.55
45,9/28/2017 0:45,7.2,5.9,3,3,3.55
46,9/28/2017 1:00,7.2,5.9,3,3,3.55
47,9/28/2017 1:15,7.2,5.9,3,3,3.55
48,9/28/2017 1:30,7.5,5.9,3,3,3.55
49,9/28/2017 1:45,7.2,5.9,3,3,3.55
50,9/28/2017 2:00,7.5,5.9,3,3,3.55
51,9/28/2017 2:15,7.2,5.9,3,3,3.55
52,9/28/2017 2:30,7.2,5.9,3,3,3.55
53,9/28/2017 2:45,7.2,5.9,3,3,3.55
54,9/28/2017 3:00,7.2,5.9,3,3,3.55
55,9/28/2017 3:15,7.2,5.6,3,3,3.55
56,9/28/2017 3:30,7.2,5.6,3,3,3.55
57,9/28/2017 3:45,7.2,5.6,3,3,3.55
58,9/28/2017 4:00,7.2,5.6,3,3,3.55
59,9/28/2017 4:15,7.2,5.2,3,3,3.55
60,9/28/2017 4:30,7.2,5.2,3,3,3.55
61,9/28/2017 4:45,7.2,5.2,3,3,3.55
62,9/28/2017 5:00,7.2,5.2,3,3,3.55
63,9/28/2017 5:15,7.2,5.2,3,3,3.55
64,9/28/2017 5:30,7.2,5.2,3,3,3.55
65,9/28/2017 5:45,7.2,5.2,3,3,3.55
66,9/28/2017 6:00,7.2,5.2,4,4,3.55
67,9/28/2017 6:15,7.2,5.2,3,4,3.55
68,9/28/2017 6:30,7.2,5.2,3,4,3.55
69,9/28/2017 6:45,7.2,5.2,4,4,3.55
70,9/28/2017 7:00,7.2,5.2,4,4,3.55
71,9/28/2017 7:15,7.2,5.2,4,4,3.55
72,9/28/2017 7:30,7.2,5.2,4,4,3.55
73,9/28/2017 7:45,7.2,5.2,3,4,3.55
74,9/28/2017 8:00,7.2,5.2,4,4,3.55
75,9/28/2017 8:15,7.2,5.2,4,4,3.55
76,9/28/2017 8:30,7.2,5.2,4,4,3.55
77,9/28/2017 8:45,7.2,5.6,4,4,3.55
78,9/28/2017 9:00,7.2,5.6,4,4,3.55
79,9/28/2017 9:15,7.2,5.6,4,4,3.55
80,9/28/2017 9:30,7.2,5.9,5,4,3.55
81,9/28/2017 9:45,7.2,5.9,4,4,3.55
82,9/28/2017 10:00,7.2,5.9,4,4,3.55
83,9/28/2017 10:15,7.5,5.9,4,4,3.55
84,9/28/2017 10:30,7.5,6.2,4,4,3.55
85,9/28/2017 10:45,7.5,6.5,4,4,3.55
86,9/28/2017 11:00,7.5,6.5,4,4,3.55
87,9/28/2017 11:15,7.5,6.9,3,3,3.55
88,9/28/2017 11:30,7.9,7.2,3,3,3.55
89,9/28/2017 11:45,7.9,7.5,3,3,3.55
90,9/28/2017 12:00,7.9,7.9,4,3,3.55
91,9/28/2017 12:15,7.9,7.9,4,4,3.55
92,9/28/2017 12:30,7.9,7.9,4,4,3.55
93,9/28/2017 12:45,7.9,7.9,4,4,3.55
94,9/28/2017 13:00,7.9,7.9,4,4,3.55
95,9/28/2017 13:15,7.9,7.9,4,4,3.55
96,9/28/2017 13:30,7.9,7.9,3,4,3.55
97,9/28/2017 13:45,7.9,7.5,4,4,3.55
98,9/28/2017 14:00,7.9,7.5,4,4,3.55
99,9/28/2017 14:15,7.9,7.5,4,4,3.55
100,9/28/2017 14:30,7.9,7.5,4,4,3.55
101,9/28/2017 14:45,7.9,7.5,4,4,3.55
102,9/28/2017 15:00,7.9,7.5,4,4,3.55
103,9/28/2017 15:15,7.9,7.2,4,4,3.55
104,9/28/2017 15:30,7.9,7.2,5,4,3.55
105,9/28/2017 15:45,7.9,6.9,5,5,3.55
106,9/28/2017 16:00,7.9,6.9,6,5,3.55
107,9/28/2017 16:15,7.9,6.9,7,6,3.55
108,9/28/2017 16:30,7.9,6.5,7,7,3.55
109,9/28/2017 16:45,7.9,6.5,8,8,3.55
110,9/28/2017 17:00,7.5,6.5,9,8,3.55
111,9/28/2017 17:15,7.5,6.5,10,9,3.55
112,9/28/2017 17:30,7.5,6.2,12,10,3.55
113,9/28/2017 17:45,7.5,6.2,14,13,3.55
