188,"170726153718","Time",0
189,.795,"mS        ",1
190,11.8,"DEGREE C  ",2
191,"170726153720","Time",0
192,.743,"mS        ",1
193,11.8,"DEGREE C  ",2
194,"170726153722","Time",0
195,.699,"mS        ",1
196,11.8,"DEGREE C  ",2
197,"170726153724","Time",0
198,.659,"mS        ",1
199,11.8,"DEGREE C  ",2
200,"170726153726","Time",0
201,.615,"mS        ",1
202,11.8,"DEGREE C  ",2
203,"170726153728","Time",0
204,.585,"mS        ",1
205,11.8,"DEGREE C  ",2
206,"170726153730","Time",0
207,.545,"mS        ",1
208,11.8,"DEGREE C  ",2
209,"170726153732","Time",0
210,.522,"mS        ",1
211,11.8,"DEGREE C  ",2
212,"170726153734","Time",0
213,.499,"mS        ",1
214,11.8,"DEGREE C  ",2
215,"170726153736","Time",0
216,.499,"mS        ",1
217,11.8,"DEGREE C  ",2
218,"170726153738","Time",0
219,.465,"mS        ",1
220,11.8,"DEGREE C  ",2
221,"170726153740","Time",0
222,.433,"mS        ",1
223,11.8,"DEGREE C  ",2
224,"170726153742","Time",0
225,.414,"mS        ",1
226,11.8,"DEGREE C  ",2
227,"170726153744","Time",0
228,.395,"mS        ",1
229,11.8,"DEGREE C  ",2
230,"170726153746","Time",0
231,.392,"mS        ",1
232,11.8,"DEGREE C  ",2
233,"170726153748","Time",0
234,.363,"mS        ",1
235,11.8,"DEGREE C  ",2
236,"170726153750","Time",0
237,.361,"mS        ",1
238,11.8,"DEGREE C  ",2
239,"170726153752","Time",0
240,.33,"mS        ",1
241,11.8,"DEGREE C  ",2
242,"170726153754","Time",0
243,.329,"mS        ",1
244,11.8,"DEGREE C  ",2
245,"170726153756","Time",0
246,.31,"mS        ",1
247,11.8,"DEGREE C  ",2
248,"170726153758","Time",0
249,.31,"mS        ",1
250,11.8,"DEGREE C  ",2
251,"170726153800","Time",0
252,.298,"mS        ",1
253,11.9,"DEGREE C  ",2
254,"170726153802","Time",0
255,.295,"mS        ",1
256,11.9,"DEGREE C  ",2
257,"170726153804","Time",0
258,.278,"mS        ",1
259,11.9,"DEGREE C  ",2
260,"170726153806","Time",0
261,.276,"mS        ",1
262,11.9,"DEGREE C  ",2
263,"170726153808","Time",0
264,.273,"mS        ",1
265,11.8,"DEGREE C  ",2
266,"170726153810","Time",0
267,.268,"mS        ",1
268,11.8,"DEGREE C  ",2
269,"170726153812","Time",0
270,.262,"mS        ",1
271,11.8,"DEGREE C  ",2
272,"170726153814","Time",0
273,.256,"mS        ",1
274,11.8,"DEGREE C  ",2
