Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
9/19/2016 6:00:00 AM  ,   46800.000,                        11.334,                         8.352,
9/19/2016 6:15:00 AM  ,   47700.000,                        11.333,                         8.300,
9/19/2016 6:30:00 AM  ,   48600.000,                        11.335,                         8.300,
9/19/2016 6:45:00 AM  ,   49500.000,                        11.339,                         8.248,
9/19/2016 7:00:00 AM  ,   50400.000,                        11.337,                         8.300,
9/19/2016 7:15:00 AM  ,   51300.000,                        11.340,                         8.300,
9/19/2016 7:30:00 AM  ,   52200.000,                        11.341,                         8.300,
9/19/2016 7:45:00 AM  ,   53100.000,                        11.347,                         8.300,
9/19/2016 8:00:00 AM  ,   54000.000,                        11.349,                         8.352,
9/19/2016 8:15:00 AM  ,   54900.000,                        11.350,                         8.457,
9/19/2016 8:30:00 AM  ,   55800.000,                        11.354,                         8.509,
9/19/2016 8:45:00 AM  ,   56700.000,                        11.354,                         8.613,
9/19/2016 9:00:00 AM  ,   57600.000,                        11.355,                         8.665,
9/19/2016 9:15:00 AM  ,   58500.000,                        11.358,                         8.821,
9/19/2016 9:30:00 AM  ,   59400.000,                        11.357,                         8.873,
9/19/2016 9:45:00 AM  ,   60300.000,                        11.353,                         8.976,
9/19/2016 10:00:00 AM ,   61200.000,                        11.356,                         9.080,
9/19/2016 10:15:00 AM ,   62100.000,                        11.354,                         9.236,
9/19/2016 10:30:00 AM ,   63000.000,                        11.349,                         9.339,
9/19/2016 10:45:00 AM ,   63900.000,                        11.345,                         9.495,
9/19/2016 11:00:00 AM ,   64800.000,                        11.342,                         9.702,
9/19/2016 11:15:00 AM ,   65700.000,                        11.337,                         9.909,
9/19/2016 11:30:00 AM ,   66600.000,                        11.336,                        10.115,
9/19/2016 11:45:00 AM ,   67500.000,                        11.339,                        10.270,
9/19/2016 12:00:00 PM ,   68400.000,                        11.334,                        10.373,
9/19/2016 12:15:00 PM ,   69300.000,                        11.333,                        10.425,
9/19/2016 12:30:00 PM ,   70200.000,                        11.336,                        10.528,
9/19/2016 12:45:00 PM ,   71100.000,                        11.332,                        10.734,
9/19/2016 1:00:00 PM  ,   72000.000,                        11.334,                        10.940,
9/19/2016 1:15:00 PM  ,   72900.000,                        11.332,                        10.991,
9/19/2016 1:30:00 PM  ,   73800.000,                        11.323,                        11.094,
9/19/2016 1:45:00 PM  ,   74700.000,                        11.319,                        11.145,
9/19/2016 2:00:00 PM  ,   75600.000,                        11.322,                        11.145,
9/19/2016 2:15:00 PM  ,   76500.000,                        11.322,                        11.145,
9/19/2016 2:30:00 PM  ,   77400.000,                        11.319,                        11.145,
9/19/2016 2:45:00 PM  ,   78300.000,                        11.321,                        11.094,
9/19/2016 3:00:00 PM  ,   79200.000,                        11.318,                        11.094,
9/19/2016 3:15:00 PM  ,   80100.000,                        11.316,                        11.145,
9/19/2016 3:30:00 PM  ,   81000.000,                        11.314,                        11.043,
9/19/2016 3:45:00 PM  ,   81900.000,                        11.315,                        10.991,
9/19/2016 4:00:00 PM  ,   82800.000,                        11.314,                        10.786,
