Report Date:,2/19/2019 3:33:35 PM
Report User Name:,fieldtech
Report Computer Name:,NREL-F1KAMPF
Application:,WinSitu.exe
Application Version:,5.6.24.4


Log File Properties
File Name,Hourly_dry_stage_103118_2019-02-14_13-59-31-569.wsl
Create Date,2/14/2019 1:59:27 PM

Device Properties
Device,Rugged TROLL 100
Site,Dry_Creek
Device Name, 
Serial Number,351998
Firmware Version,1.02
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,40

Log Configuration
,Log Name,Hourly_dry_stage_103118
,Created By,fieldtech
,Computer Name,NREL-F1KAMPF
,Application,WinSitu.exe
,Application Version,5.6.24.4
,Create Date,10/31/2018 2:14:34 PM Mountain Standard Time (Ignore DST)
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Enabled
,Scheduled Start Time,10/31/2018 3:00:00 PM Mountain Standard Time (Ignore DST)
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00





Other Log Settings
,Depth of Probe:,25.6304 (ft)
,Head Pressure:,11.1004 (PSI)
,Temperature:,5.78499 (C)



Log Notes:
Date and Time,Note
10/31/2018 3:19:54 PM ,Used Battery: 40% Used Memory: 6%   User Name: fieldtech
2/14/2019 3:06:04 PM  ,Log Download - Used Battery: 43% Used Memory: 6%   User Name: fieldtech


Log Data:
Record Count,2544

Sensors,1

 ,1,351998,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Standard Time (Ignore DST)

,,Sensor: Pres(A) 30ft          ,Sensor: Pres(A) 30ft          ,
,Elapsed Time,SN#: 351998                   ,SN#: 351998                   ,
Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
11/3/2018 5:19:53 AM  ,  223200.000,                        11.142,                         3.984,
11/3/2018 6:19:53 AM  ,  226800.000,                        11.154,                         3.984,
11/3/2018 7:19:53 AM  ,  230400.000,                        11.159,                         4.037,
11/3/2018 8:19:53 AM  ,  234000.000,                        11.181,                         3.771,
11/3/2018 9:19:53 AM  ,  237600.000,                        11.194,                         3.398,
11/3/2018 10:19:53 AM ,  241200.000,                        11.198,                         3.771,
11/3/2018 11:19:53 AM ,  244800.000,                        11.206,                         4.037,
11/3/2018 12:19:53 PM ,  248400.000,                        11.206,                         4.250,
11/3/2018 1:19:53 PM  ,  252000.000,                        11.210,                         4.197,
11/3/2018 2:19:53 PM  ,  255600.000,                        11.208,                         4.356,
11/3/2018 3:19:53 PM  ,  259200.000,                        11.204,                         4.250,
11/3/2018 4:19:53 PM  ,  262800.000,                        11.213,                         4.250,
11/3/2018 5:19:53 PM  ,  266400.000,                        11.216,                         4.303,
11/3/2018 6:19:53 PM  ,  270000.000,                        11.218,                         4.197,
11/3/2018 7:19:53 PM  ,  273600.000,                        11.227,                         4.091,
11/3/2018 8:19:53 PM  ,  277200.000,                        11.228,                         3.984,
11/3/2018 9:19:53 PM  ,  280800.000,                        11.230,                         3.931,
11/3/2018 10:19:53 PM ,  284400.000,                        11.232,                         3.825,
11/3/2018 11:19:53 PM ,  288000.000,                        11.229,                         3.771,
11/4/2018 12:19:53 AM ,  291600.000,                        11.220,                         3.612,
11/4/2018 1:19:53 AM  ,  295200.000,                        11.209,                         3.612,
11/4/2018 2:19:53 AM  ,  298800.000,                        11.205,                         3.558,
11/4/2018 3:19:53 AM  ,  302400.000,                        11.205,                         3.505,
11/4/2018 4:19:53 AM  ,  306000.000,                        11.187,                         3.505,
